municipality;region;oktmo;court_name;court_code;comment
Гиагинский муниципальный район;Адыгея;79605000;Гиагинский районный суд;01RS0001;
Городской округ - Город Адыгейск;Адыгея;79703000;Теучежский районный суд;01RS0007;
Городской округ - Город Майкоп;Адыгея;79701000;Майкопский городской суд;01RS0004;
Кошехабльский муниципальный район;Адыгея;79615000;Кошехабльский районный суд;01RS0002;
Красногвардейский муниципальный район;Адыгея;79618000;Красногвардейский районный суд;01RS0003;
Майкопский муниципальный район;Адыгея;79622000;Майкопский районный суд Республики Адыгея;01RS0005;
Тахтамукайский муниципальный район;Адыгея;79630000;Тахтамукайский районный суд;01RS0006;
Теучежский муниципальный район;Адыгея;79633000;Теучежский районный суд;01RS0007;
Шовгеновский муниципальный район;Адыгея;79640000;Шовгеновский районный суд;01RS0008;
Городской округ - г Горно-Алтайск;Алтай;84701000;Горно-Алтайский городской суд;02RS0001;
Кош-Агачский муниципальный район;Алтай;84610000;Кош-Агачский районный суд;02RS0002;
Майминский муниципальный район;Алтай;84615000;Майминский районный суд;02RS0003;
Онгудайский муниципальный район;Алтай;84620000;Онгудайский районный суд;02RS0004;
Турочакский муниципальный район;Алтай;84625000;Турочакский районный суд;02RS0005;
Улаганский муниципальный район;Алтай;84630000;Улаганский районный суд;02RS0006;
Усть-Канский муниципальный район;Алтай;84635000;Усть-Канский районный суд;02RS0007;
Усть-Коксинский муниципальный район;Алтай;84640000;Усть-Коксинский районный суд;02RS0008;
Чемальский муниципальный район;Алтай;84643000;Чемальский районный суд;02RS0009;
Чойский муниципальный район;Алтай;84645000;Чойский районный суд;02RS0010;
Шебалинский муниципальный район;Алтай;84650000;Шебалинский районный суд;02RS0011;
Алейский муниципальный район;Алтайский;01601000;Алейский городской суд Алтайского края;22RS0001;
Алтайский муниципальный район;Алтайский;01602000;Алтайский районный суд Алтайского края;22RS0002;
Баевский муниципальный район;Алтайский;01603000;Баевский районный суд Алтайского края;22RS0070;
Бийский муниципальный район;Алтайский;01604000;Бийский районный суд Алтайского края;22RS0003;
Благовещенский муниципальный район;Алтайский;01605000;Благовещенский районный суд Алтайского края;22RS0004;
Бурлинский муниципальный район;Алтайский;01606000;Бурлинский районный суд Алтайского края;22RS0005;
Быстроистокский муниципальный район;Алтайский;01607000;Быстроистокский районный суд Алтайского края;22RS0006;
Волчихинский муниципальный район;Алтайский;01608000;Волчихинский районный суд Алтайского края;22RS0016;
Городской округ г Алейск;Алтайский;01703000;Алейский городской суд Алтайского края;22RS0001;
Городской округ г Барнаул;Алтайский;01701000;Железнодорожный районный суд г. Барнаула Алтайского края;22RS0066;
Городской округ г Барнаул;Алтайский;01701000;Индустриальный районный суд г. Барнаула Алтайского края;22RS0065;
Городской округ г Барнаул;Алтайский;01701000;Ленинский районный суд г. Барнаула Алтайского края;22RS0069;
Городской округ г Барнаул;Алтайский;01701000;Октябрьский районный суд г. Барнаула Алтайского края;22RS0067;
Городской округ г Барнаул;Алтайский;01701000;Центральный районный суд г. Барнаула Алтайского края;22RS0068;
Городской округ г Белокуриха;Алтайский;01704000;Белокурихинский городской суд Алтайского края;22RS0007;
Городской округ г Бийск;Алтайский;01705000;Бийский городской суд Алтайского края;22RS0013;
Городской округ г Заринск;Алтайский;01706000;Заринский городской суд Алтайского края;22RS0008;
Городской округ г Новоалтайск;Алтайский;01713000;Новоалтайский городской суд Алтайского края;22RS0015;
Городской округ г Рубцовск;Алтайский;01716000;Рубцовский городской суд Алтайского края;22RS0011;
Городской округ г Яровое;Алтайский;01730000;Яровской районный суд Алтайского края;22RS0071;
Городской округ посёлок Сибирский;Алтайский;01755000;Новоалтайский городской суд Алтайского края;22RS0015;
Егорьевский муниципальный район;Алтайский;01609000;Егорьевский районный суд Алтайского края;22RS0017;
Ельцовский муниципальный район;Алтайский;01610000;Целинный районный суд Алтайского края;22RS0061;
Завьяловский муниципальный район;Алтайский;01611000;Завьяловский районный суд Алтайского края;22RS0019;
Залесовский муниципальный округ;Алтайский;01512000;Залесовский районный суд Алтайского края;22RS0020;
Заринский муниципальный район;Алтайский;01613000;Заринский районный суд Алтайского края;22RS0021;
Змеиногорский муниципальный район;Алтайский;01614000;Змеиногорский городской суд Алтайского края;22RS0009;
Зональный муниципальный район;Алтайский;01629000;Зональный районный суд Алтайского края;22RS0022;
Калманский муниципальный район;Алтайский;01615000;Калманский районный суд Алтайского края;22RS0023;
Каменский муниципальный район;Алтайский;01616000;Каменский городской суд Алтайского края;22RS0010;
Ключевский муниципальный район;Алтайский;01617000;Ключевский районный суд Алтайского края;22RS0024;
Косихинский муниципальный район;Алтайский;01618000;Косихинский районный суд Алтайского края;22RS0025;
Красногорский муниципальный район;Алтайский;01619000;Красногорский районный суд Алтайского края;22RS0026;
Краснощёковский муниципальный район;Алтайский;01620000;Краснощековский районный суд Алтайского края;22RS0027;
Крутихинский муниципальный район;Алтайский;01621000;Крутихинский районный суд Алтайского края;22RS0028;
Кулундинский муниципальный район;Алтайский;01622000;Кулундинский районный суд Алтайского края;22RS0029;
Курьинский муниципальный район;Алтайский;01623000;Курьинский районный суд Алтайского края;22RS0030;
Кытмановский муниципальный район;Алтайский;01624000;Кытмановский районный суд Алтайского края;22RS0031;
Локтевский муниципальный район;Алтайский;01625000;Локтевский районный суд Алтайского края;22RS0032;
Мамонтовский муниципальный район;Алтайский;01626000;Мамонтовский районный суд Алтайского края;22RS0033;
Михайловский муниципальный район;Алтайский;01627000;Михайловский районный суд Алтайского края;22RS0034;
Муниципальный округ город Славгород;Алтайский;01539000;Славгородский городской суд Алтайского края;22RS0012;
Муниципальный округ Суетский район;Алтайский;01541000;Благовещенский районный суд Алтайского края;22RS0004;
Муниципальный округ Чарышский район;Алтайский;01558000;Чарышский районный суд Алтайского края;22RS0062;
Немецкий Национальный муниципальный район;Алтайский;01660000;Районный суд Немецкого национального района Алтайского края;22RS0035;
Новичихинский муниципальный район;Алтайский;01628000;Новичихинский районный суд Алтайского края;22RS0036;
Павловский муниципальный район;Алтайский;01630000;Павловский районный суд Алтайского края;22RS0037;
Панкрушихинский муниципальный район;Алтайский;01631000;Панкрушихинский районный суд Алтайского края;22RS0038;
Первомайский муниципальный район;Алтайский;01632000;Новоалтайский городской суд Алтайского края;22RS0015;
Петропавловский муниципальный район;Алтайский;01633000;Петропавловский районный суд Алтайского края;22RS0039;
Поспелихинский муниципальный район;Алтайский;01634000;Поспелихинский районный суд Алтайского края;22RS0040;
Ребрихинский муниципальный район;Алтайский;01635000;Ребрихинский районный суд Алтайского края;22RS0041;
Родинский муниципальный район;Алтайский;01636000;Родинский районный суд Алтайского края;22RS0042;
Романовский муниципальный район;Алтайский;01637000;Романовский районный суд Алтайского края;22RS0043;
Рубцовский муниципальный район;Алтайский;01638000;Рубцовский районный суд Алтайского края;22RS0044;
Смоленский муниципальный район;Алтайский;01640000;Смоленский районный суд Алтайского края;22RS0045;
Советский муниципальный район;Алтайский;01642000;Советский районный суд Алтайского края;22RS0046;
Солонешенский муниципальный район;Алтайский;01643000;Солонешенский районный суд Алтайского края;22RS0047;
Солтонский муниципальный район;Алтайский;01644000;Солтонский районный суд Алтайского края;22RS0048;
Табунский муниципальный район;Алтайский;01646000;Табунский районный суд Алтайского края;22RS0050;
Тальменский муниципальный район;Алтайский;01647000;Тальменский районный суд Алтайского края;22RS0051;
Тогульский муниципальный район;Алтайский;01648000;Тогульский районный суд Алтайского края;22RS0052;
Топчихинский муниципальный район;Алтайский;01649000;Топчихинский районный суд Алтайского края;22RS0053;
Третьяковский муниципальный район;Алтайский;01650000;Третьяковский районный суд Алтайского края;22RS0054;
Троицкий муниципальный район;Алтайский;01651000;Троицкий районный суд Алтайского края;22RS0055;
Тюменцевский муниципальный район;Алтайский;01652000;Тюменцевский районный суд Алтайского края;22RS0056;
Угловский муниципальный район;Алтайский;01653000;Угловский районный суд Алтайского края;22RS0057;
Усть-Калманский муниципальный район;Алтайский;01654000;Усть-Калманский районный суд Алтайского края;22RS0058;
Усть-Пристанский муниципальный район;Алтайский;01655000;Усть-Пристанский районный суд Алтайского края;22RS0059;
Хабарский муниципальный район;Алтайский;01656000;Хабарский районный суд Алтайского края;22RS0060;
Целинный муниципальный район;Алтайский;01657000;Целинный районный суд Алтайского края;22RS0061;
Шелаболихинский муниципальный район;Алтайский;01645000;Шелаболихинский районный суд Алтайского края;22RS0063;
Шипуновский муниципальный район;Алтайский;01659000;Шипуновский районный суд Алтайского края;22RS0064;
Архаринский муниципальный округ;Амурская;10505000;Архаринский районный суд Амурской области;28RS0001;
Белогорский муниципальный округ;Амурская;10508000;Белогорский городской суд Амурской области;28RS0002;
Благовещенский муниципальный округ;Амурская;10511000;Благовещенский районный суд Амурской области;28RS0005;
Бурейский муниципальный округ;Амурская;10515000;Бурейский районный суд Амурской области;28RS0006;
Городской округ - пгт Прогресс;Амурская;10775000;Райчихинский городской суд Амурской области;28RS0015;
Городской округ г Белогорск;Амурская;10710000;Белогорский городской суд Амурской области;28RS0002;
Городской округ г Благовещенск;Амурская;10701000;Благовещенский городской суд Амурской области;28RS0004;
Городской округ г Зея;Амурская;10712000;Зейский районный суд Амурской области;28RS0008;
Городской округ г Райчихинск;Амурская;10720000;Райчихинский городской суд Амурской области;28RS0015;
Городской округ г Свободный;Амурская;10730000;Свободненский городской суд Амурской области;28RS0017;
Городской округ г Тында;Амурская;10732000;Тындинский районный суд Амурской области;28RS0023;
Городской округ г Циолковский;Амурская;10770000;Свободненский городской суд Амурской области;28RS0017;
Городской округ г Шимановск;Амурская;10740000;Шимановский районный суд Амурской области;28RS0024;
Завитинский муниципальный округ;Амурская;10521000;Завитинский районный суд Амурской области;28RS0007;
Зейский муниципальный округ;Амурская;10525000;Зейский районный суд Амурской области;28RS0008;
Ивановский муниципальный округ;Амурская;10528000;Ивановский районный суд Амурской области;28RS0009;
Константиновский муниципальный район;Амурская;10630000;Константиновский районный суд Амурской области;28RS0010;
Магдагачинский муниципальный район;Амурская;10631000;Магдагачинский районный суд Амурской области;28RS0012;
Мазановский муниципальный район;Амурская;10632000;Мазановский районный суд Амурской области;28RS0011;
Михайловский муниципальный район;Амурская;10635000;Михайловский районный суд Амурской области;28RS0013;
Октябрьский муниципальный район;Амурская;10638000;Октябрьский районный суд Амурской области;28RS0014;
Ромненский муниципальный округ;Амурская;10540000;Ромненский районный суд Амурской области;28RS0016;
Свободненский муниципальный район;Амурская;10642000;Свободненский городской суд Амурской области;28RS0017;
Селемджинский муниципальный район;Амурская;10645000;Селемджинский районный суд Амурской области;28RS0020;
Серышевский муниципальный округ;Амурская;10547000;Серышевский районный суд Амурской области;28RS0019;
Сковородинский муниципальный округ;Амурская;10549000;Сковородинский районный суд Амурской области;28RS0021;
Тамбовский муниципальный округ;Амурская;10551000;Тамбовский районный суд Амурской области;28RS0022;
Тындинский муниципальный округ;Амурская;10554000;Тындинский районный суд Амурской области;28RS0005;
Шимановский муниципальный округ;Амурская;10555000;Шимановский районный суд Амурской области;28RS0024;
Вельский муниципальный район ;Архангельская;11605000;Вельский районный суд Архангельской области;29RS0001;
Верхнетоемский муниципальный округ ;Архангельская;11508000;Красноборский районный суд Архангельской области;29RS0011;
Вилегодский муниципальный округ;Архангельская;11511000;Вилегодский районный суд Архангельской области;29RS0003;
Виноградовский муниципальный округ ;Архангельская;11514000;Виноградовский районный суд Архангельской области;29RS0004;
Городской округ город Архангельск;Архангельская;11701000;Исакогорский районный суд г. Архангельска;29RS0005;
Городской округ город Архангельск;Архангельская;11701000;Ломоносовский районный суд г. Архангельска;29RS0014;
Городской округ город Архангельск;Архангельская;11701000;Октябрьский районный суд г. Архангельска;29RS0018;
Городской округ город Архангельск;Архангельская;11701000;Приморский районный суд Архангельской области;29RS0022;Приморский район входит в состав ГО Архангельск
Городской округ город Архангельск;Архангельская;11701000;Соломбальский районный суд г. Архангельска;29RS0024;
Городской округ Коряжма;Архангельская;11708000;Коряжемский городской суд Архангельской области;29RS0010;
Городской округ Котлас;Архангельская;11710000;Котласский городской суд Архангельской области;29RS0008;
Городской округ Мирный ЗАТО;Архангельская;11725000;Мирнинский городской суд Архангельской области;29RS0028;
Городской округ Новая Земля;Архангельская;11712000;Няндомский районный суд Архангельской области;29RS0017;
Городской округ Новодвинск;Архангельская;11715000;Новодвинский городской суд Архангельской области;29RS0016;
Городской округ Северодвинск;Архангельская;11730000;Северодвинский городской суд Архангельской области;29RS0023;
Каргопольский муниципальный округ;Архангельская;11518000;Няндомский районный суд Архангельской области;29RS0017;
Коношский муниципальный район ;Архангельская;11622000;Коношский районный суд Архангельской области;29RS0007;
Котласский муниципальный округ;Архангельская;11527000;Котласский городской суд Архангельской области;29RS0008;
Красноборский муниципальный округ;Архангельская;11530000;Красноборский районный суд Архангельской области;29RS0011;
Ленский муниципальный район ;Архангельская;11635000;Вилегодский районный суд Архангельской области;29RS0003;
Лешуконский муниципальный округ;Архангельская;11538000;Лешуконский районный суд Архангельской области;29RS0013;
Мезенский муниципальный округ;Архангельская;11542000;Лешуконский районный суд Архангельской области;29RS0013;
Няндомский муниципальный округ;Архангельская;11544000;Няндомский районный суд Архангельской области;29RS0017;
Онежский муниципальный район ;Архангельская;11646000;Онежский городской суд Архангельской области;29RS0019;
Пинежский муниципальный округ;Архангельская;11548000;Пинежский районный суд Архангельской области;29RS0020;
Плесецкий муниципальный округ ;Архангельская;11550000;Плесецкий районный суд Архангельской области;29RS0021;
Приморский муниципальный округ;Архангельская;11552000;Приморский районный суд Архангельской области;29RS0022;
Устьянский муниципальный округ;Архангельская;11554000;Устьянский районный суд Архангельской области;29RS0025;
Холмогорский муниципальный округ;Архангельская;11556000;Холмогорский районный суд Архангельской области;29RS0026;
Шенкурский муниципальный округ;Архангельская;11558000;Виноградовский районный суд Архангельской области;29RS0004;
Городской округ город Астрахань;Астраханская;12701000;Кировский районный суд г. Астрахани;30RS0001;
Городской округ город Астрахань;Астраханская;12701000;Ленинский районный суд г. Астрахани;30RS0002;
Городской округ город Астрахань;Астраханская;12701000;Советский районный суд г. Астрахани;30RS0003;
Городской округ город Астрахань;Астраханская;12701000;Трусовский районный суд г. Астрахани;30RS0004;
Городской округ Знаменск;Астраханская;12719000;Ахтубинский районный суд Астраханской области;30RS0005;
Муниципальный район Ахтубинский;Астраханская;12605000;Ахтубинский районный суд Астраханской области;30RS0005;
Муниципальный район Володарский;Астраханская;12610000;Володарский районный суд Астраханской области;30RS0006;
Муниципальный район Енотаевский;Астраханская;12615000;Енотаевский районный суд Астраханской области;30RS0007;
Муниципальный район Икрянинский;Астраханская;12620000;Икрянинский районный суд Астраханской области;30RS0008;
Муниципальный район Камызякский;Астраханская;12625000;Камызякский районный суд Астраханской области;30RS0009;
Муниципальный район Красноярский;Астраханская;12630000;Красноярский районный суд Астраханской области;30RS0010;
Муниципальный район Лиманский;Астраханская;12635000;Лиманский районный суд Астраханской области;30RS0011;
Муниципальный район Наримановский;Астраханская;12640000;Наримановский районный суд Астраханской области;30RS0012;
Муниципальный район Приволжский;Астраханская;12642000;Приволжский районный суд Астраханской области;30RS0013;
Муниципальный район Харабалинский;Астраханская;12645000;Харабалинский районный суд Астраханской области;30RS0014;
Муниципальный район Черноярский;Астраханская;12650000;Черноярский районный суд Астраханской области;30RS0015;
Городской округ г Агидель;Башкортостан;80703000;Краснокамский межрайонный суд Республики Башкортостан;03RS0049;
Городской округ г Кумертау;Башкортостан;80723000;Кумертауский межрайонный суд Республики Башкортостан;03RS0012;
Городской округ г Межгорье;Башкортостан;80707000;Белорецкий межрайонный суд Республики Башкортостан;03RS0010;
Городской округ г Нефтекамск;Башкортостан;80727000;Нефтекамский городской суд Республики Башкортостан;03RS0013;
Городской округ г Октябрьский;Башкортостан;80735000;Октябрьский городской суд Республики Башкортостан;03RS0014;
Городской округ г Салават;Башкортостан;80739000;Салаватский городской суд Республики Башкортостан;03RS0015;
Городской округ г Сибай;Башкортостан;80743000;Сибайский городской суд Республики Башкортостан;03RS0016;
Городской округ г Стерлитамак;Башкортостан;80745000;Стерлитамакский городской суд Республики Башкортостан;03RS0017;
Городской округ г Уфа;Башкортостан;80701000;Демский районный суд г. Уфы Республики Башкортостан;03RS0001;
Городской округ г Уфа;Башкортостан;80701000;Калининский районный суд г. Уфы Республики Башкортостан;03RS0002;
Городской округ г Уфа;Башкортостан;80701000;Кировский районный суд г. Уфы Республики Башкортостан;03RS0003;
Городской округ г Уфа;Башкортостан;80701000;Ленинский районный суд г. Уфы Республики Башкортостан;03RS0004;
Городской округ г Уфа;Башкортостан;80701000;Октябрьский районный суд г. Уфы Республики Башкортостан;03RS0005;
Городской округ г Уфа;Башкортостан;80701000;Орджоникидзевский районный суд г. Уфы Республики Башкортостан;03RS0006;
Городской округ г Уфа;Башкортостан;80701000;Советский районный суд г. Уфы Республики Башкортостан;03RS0007;
Муниципальный район Абзелиловский район;Башкортостан;80601000;Абзелиловский районный суд Республики Башкортостан;03RS0019;
Муниципальный район Альшеевский район;Башкортостан;80602000;Альшеевский районный суд Республики Башкортостан;03RS0020;
Муниципальный район Архангельский район;Башкортостан;80603000;Кармаскалинский межрайонный суд Республики Башкортостан;03RS0048;
Муниципальный район Аскинский район;Башкортостан;80604000;Караидельский межрайонный суд Республики Башкортостан;03RS0047;
Муниципальный район Аургазинский район;Башкортостан;80605000;Гафурийский межрайонный суд Республики Башкортостан;03RS0037;
Муниципальный район Баймакский район;Башкортостан;80606000;Баймакский районный суд Республики Башкортостан;03RS0024;
Муниципальный район Бакалинский район;Башкортостан;80607000;Чекмагушевский межрайонный суд Республики Башкортостан;03RS0068;
Муниципальный район Балтачевский район;Башкортостан;80608000;Балтачевский межрайонный суд Республики Башкортостан;03RS0025;
Муниципальный район Белебеевский район;Башкортостан;80609000;Белебеевский городской суд Республики Башкортостан;03RS0009;
Муниципальный район Белокатайский район;Башкортостан;80610000;Белокатайский межрайонный суд Республики Башкортостан;03RS0028;
Муниципальный район Белорецкий район;Башкортостан;80611000;Белорецкий межрайонный суд Республики Башкортостан;03RS0010;
Муниципальный район Бижбулякский район;Башкортостан;80612000;Бижбулякский межрайонный суд Республики Башкортостан;03RS0030;
Муниципальный район Бирский район;Башкортостан;80613000;Бирский межрайонный суд Республики Башкортостан;03RS0032;
Муниципальный район Благоварский район;Башкортостан;80614000;Благоварский межрайонный суд Республики Башкортостан;03RS0031;
Муниципальный район Благовещенский район;Башкортостан;80615000;Благовещенский районный суд Республики Башкортостан;03RS0033;
Муниципальный район Буздякский район;Башкортостан;80617000;Благоварский межрайонный суд Республики Башкортостан;03RS0031;
Муниципальный район Бураевский район;Башкортостан;80618000;Балтачевский межрайонный суд Республики Башкортостан;03RS0025;
Муниципальный район Бурзянский район;Башкортостан;80619000;Белорецкий межрайонный суд Республики Башкортостан;03RS0010;
Муниципальный район Гафурийский район;Башкортостан;80621000;Гафурийский межрайонный суд Республики Башкортостан;03RS0037;
Муниципальный район Давлекановский район;Башкортостан;80622000;Давлекановский районный суд Республики Башкортостан;03RS0038;
Муниципальный район Дуванский район;Башкортостан;80623000;Салаватский межрайонный суд Республики Башкортостан;03RS0059;
Муниципальный район Дюртюлинский район;Башкортостан;80624000;Дюртюлинский районный суд Республики Башкортостан;03RS0040;
Муниципальный район Ермекеевский район;Башкортостан;80625000;Бижбулякский межрайонный суд Республики Башкортостан;03RS0030;
Муниципальный район Зианчуринский район;Башкортостан;80626000;Кугарчинский межрайонный суд Республики Башкортостан;03RS0051;
Муниципальный район Зилаирский район;Башкортостан;80627000;Зилаирский межрайонный суд Республики Башкортостан;03RS0043;
Муниципальный район Иглинский район;Башкортостан;80628000;Иглинский межрайонный суд Республики Башкортостан;03RS0044;
Муниципальный район Илишевский район;Башкортостан;80630000;Илишевский районный суд Республики Башкортостан;03RS0045;
Муниципальный район Ишимбайский район;Башкортостан;80631000;Ишимбайский городской суд Республики Башкортостан;03RS0011;
Муниципальный район Калтасинский район;Башкортостан;80633000;Краснокамский межрайонный суд Республики Башкортостан;03RS0049;
Муниципальный район Караидельский район;Башкортостан;80634000;Караидельский межрайонный суд Республики Башкортостан;03RS0047;
Муниципальный район Кармаскалинский район;Башкортостан;80635000;Кармаскалинский межрайонный суд Республики Башкортостан;03RS0048;
Муниципальный район Кигинский район;Башкортостан;80636000;Белокатайский межрайонный суд Республики Башкортостан;03RS0028;
Муниципальный район Краснокамский район;Башкортостан;80637000;Краснокамский межрайонный суд Республики Башкортостан;03RS0049;
Муниципальный район Кугарчинский район;Башкортостан;80638000;Кугарчинский межрайонный суд Республики Башкортостан;03RS0051;
Муниципальный район Кушнаренковский район;Башкортостан;80640000;Кушнаренковский районный суд Республики Башкортостан;03RS0053;
Муниципальный район Куюргазинский район;Башкортостан;80639000;Кумертауский межрайонный суд Республики Башкортостан;03RS0012;
Муниципальный район Мелеузовский район;Башкортостан;80641000;Мелеузовский районный суд Республики Башкортостан;03RS0054;
Муниципальный район Мечетлинский район;Башкортостан;80642000;Салаватский межрайонный суд Республики Башкортостан;03RS0059;
Муниципальный район Мишкинский район;Башкортостан;80643000;Бирский межрайонный суд Республики Башкортостан;03RS0032;
Муниципальный район Миякинский район;Башкортостан;80644000;Стерлибашевский межрайонный суд Республики Башкортостан;03RS0060;
Муниципальный район Нуримановский район;Башкортостан;80645000;Иглинский межрайонный суд Республики Башкортостан;03RS0044;
Муниципальный район Салаватский район;Башкортостан;80647000;Салаватский межрайонный суд Республики Башкортостан;03RS0059;
Муниципальный район Стерлибашевский район;Башкортостан;80648000;Стерлибашевский межрайонный суд Республики Башкортостан;03RS0060;
Муниципальный район Стерлитамакский район;Башкортостан;80649000;Стерлитамакский городской суд Республики Башкортостан;03RS0017;
Муниципальный район Татышлинский район;Башкортостан;80650000;Балтачевский межрайонный суд Республики Башкортостан;03RS0025;
Муниципальный район Туймазинский район;Башкортостан;80651000;Туймазинский межрайонный суд Республики Башкортостан;03RS0063;
Муниципальный район Уфимский район;Башкортостан;80652000;Уфимский районный суд Республики Башкортостан;03RS0043;
Муниципальный район Учалинский район;Башкортостан;80653000;Учалинский районный суд Республики Башкортостан;03RS0065;
Муниципальный район Федоровский район;Башкортостан;80654000;Стерлибашевский межрайонный суд Республики Башкортостан;03RS0060;
Муниципальный район Хайбуллинский район;Башкортостан;80655000;Зилаирский межрайонный суд Республики Башкортостан;03RS0043;
Муниципальный район Чекмагушевский район;Башкортостан;80656000;Чекмагушевский межрайонный суд Республики Башкортостан;03RS0068;
Муниципальный район Чишминский район;Башкортостан;80657000;Чишминский районный суд Республики Башкортостан;03RS0069;
Муниципальный район Шаранский район;Башкортостан;80658000;Туймазинский межрайонный суд Республики Башкортостан;03RS0063;
Муниципальный район Янаульский район;Башкортостан;80659000;Янаульский районный суд Республики Башкортостан;03RS0071;
Алексеевский городской округ;Белгородская;14710000;Алексеевский районный суд Белгородской области;31RS0001;
Белгородский муниципальный район;Белгородская;14610000;Белгородский районный суд Белгородской области;31RS0002;
Борисовский муниципальный район;Белгородская;14615000;Борисовский районный суд Белгородской области;31RS0003;
